,predictGap,pos,timeFrag,traffic1_1,traffic1_2,traffic1_3,traffic1_4,traffic2_1,traffic2_2,traffic2_3,traffic2_4,traffic3_1,traffic3_2,traffic3_3,traffic3_4,w1_weatherLevel,w1_temperature,w1_pm2.5,w2_weatherLevel,w2_temperature,w2_pm2.5,w3_weatherLevel,w3_temperature,w3_pm2.5,requestNum1,requestNum2,requestNum3,responseNum1,responseNum2,responseNum3,gap1,gap2,gap3,meanPrice1,meanPrice2,meanPrice3,totalPrice1,totalPrice2,totalPrice3,facility19#3,facility20,facility19,facility20#8,facility11#8,facility13#4,facility24#1,facility11#4,date2week,isHoliday,time_fragment,isRushHour,transOrders1,transOrders2,transOrders3,isWeek,isWeatherDecrease,sameZoneRate,before3DestOrders
17,0,2,2016-01-01-142,746,89,17,26,761,75,23,16,731,100,21,20,2,8.0,126,2,8.0,126,2,8.0,126,9,5,12,8,5,11,1,0,1,19.4444444444,10.4,30.0,175.0,52.0,360.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,139,0,7,3,8,1,0,0.556862745098,15
18,0,3,2016-01-01-46,200,18,10,3,155,10,7,5,191,21,11,1,1,2.0,181,1,2.0,181,1,2.0,181,3,4,0,1,3,0,2,1,0,38.7333333333,34.175,0.0,116.2,136.7,0.0,830,166,6308,498,1909,83,332,249,5,1,43,1,3,4,0,1,0,0.636363636364,2
19,2,3,2016-01-01-58,272,59,23,7,227,48,11,5,262,58,6,11,8,3.0,178,8,3.0,178,8,3.0,178,6,8,4,2,6,4,4,2,0,15.0,28.6375,16.3,90.0,229.1,65.2,830,166,6308,498,1909,83,332,249,5,1,55,1,4,6,4,1,0,0.591397849462,5
20,2,3,2016-01-01-70,238,25,12,14,265,29,16,12,271,42,16,12,2,7.0,205,2,6.0,205,2,6.0,205,8,19,7,3,4,3,5,15,4,28.875,16.2421052632,19.1428571429,231.0,308.6,134.0,830,166,6308,498,1909,83,332,249,5,1,67,0,8,19,7,1,0,0.459183673469,4
21,0,3,2016-01-01-82,224,53,6,4,250,35,12,2,215,62,18,4,2,10.0,232,2,10.0,232,2,10.0,232,2,6,5,2,3,2,0,3,3,9.0,18.1833333333,16.86,18.0,109.1,84.3,830,166,6308,498,1909,83,332,249,5,1,79,0,2,6,5,1,0,0.558139534884,0
22,0,3,2016-01-01-94,246,17,13,7,243,42,14,4,232,19,20,7,2,12.0,189,2,12.0,189,9,12.0,189,5,5,4,3,3,4,2,2,0,25.4,25.34,14.1,127.0,126.7,56.4,830,166,6308,498,1909,83,332,249,5,1,91,0,5,5,4,1,0,0.547945205479,3
23,0,3,2016-01-01-106,275,59,13,1,264,53,10,10,231,39,6,6,2,10.0,154,2,11.0,154,2,11.0,154,13,7,6,6,3,4,7,4,2,11.5846153846,15.6428571429,23.75,150.6,109.5,142.5,830,166,6308,498,1909,83,332,249,5,1,103,1,12,7,6,1,0,0.522123893805,4
24,0,3,2016-01-01-118,254,23,11,11,303,28,9,4,279,66,13,5,2,9.0,153,2,9.0,153,2,9.0,153,2,6,2,2,5,2,0,1,0,9.0,20.6666666667,12.0,18.0,124.0,24.0,830,166,6308,498,1909,83,332,249,5,1,115,0,2,6,2,1,0,0.494505494505,6
25,0,3,2016-01-01-130,256,29,7,2,252,35,21,9,251,43,19,6,2,8.0,133,2,8.0,133,3,8.0,133,0,2,3,0,2,3,0,0,0,0.0,31.0,22.9,0.0,62.0,68.7,830,166,6308,498,1909,83,332,249,5,1,127,1,0,2,3,1,0,0.545454545455,5
26,1,3,2016-01-01-142,242,40,6,4,243,26,10,5,239,30,18,12,2,8.0,126,2,8.0,126,2,8.0,126,2,2,2,2,1,2,0,1,0,30.5,40.0,10.0,61.0,80.0,20.0,830,166,6308,498,1909,83,332,249,5,1,139,0,2,2,1,1,0,0.5,3
27,24,4,2016-01-01-46,556,109,29,27,506,82,29,13,560,84,23,18,1,2.0,181,1,2.0,181,1,2.0,181,50,46,19,22,13,12,28,33,7,22.192,32.3369565217,44.6105263158,1109.6,1487.5,847.6,4648,11122,21995,17596,11786,2822,5063,6640,5,1,43,1,39,42,19,1,0,0.783582089552,31
28,18,4,2016-01-01-58,694,151,57,40,752,140,46,29,735,156,46,44,8,3.0,178,8,3.0,178,8,3.0,178,45,61,58,40,42,51,5,19,7,34.9377777778,29.9508196721,18.8310344828,1572.2,1827.0,1092.2,4648,11122,21995,17596,11786,2822,5063,6640,5,1,55,1,40,53,38,1,0,0.819829424307,91
29,64,4,2016-01-01-70,654,193,81,63,698,170,81,54,690,125,79,39,2,7.0,205,2,6.0,205,2,6.0,205,84,80,95,40,40,44,44,40,51,18.9095238095,22.54375,23.9610526316,1588.4,1803.5,2276.3,4648,11122,21995,17596,11786,2822,5063,6640,5,1,67,0,58,59,60,1,0,0.844499586435,107
30,37,4,2016-01-01-82,618,134,93,47,684,167,89,52,681,164,65,48,2,10.0,232,2,10.0,232,2,10.0,232,92,78,70,57,47,42,35,31,28,21.1195652174,17.6846153846,19.8685714286,1943.0,1379.4,1390.8,4648,11122,21995,17596,11786,2822,5063,6640,5,1,79,0,67,44,42,1,0,0.844121532365,133
31,5,4,2016-01-01-94,646,214,83,47,670,168,90,58,614,173,83,61,2,12.0,189,2,12.0,189,9,12.0,189,123,129,96,70,53,59,53,76,37,20.5487804878,17.7720930233,23.7208333333,2527.5,2292.6,2277.2,4648,11122,21995,17596,11786,2822,5063,6640,5,1,91,0,100,94,71,1,0,0.842424242424,129
32,2,4,2016-01-01-106,628,209,84,59,628,198,81,61,678,200,88,49,2,10.0,154,2,11.0,154,2,11.0,154,70,78,77,67,73,73,3,5,4,21.2614285714,20.8551282051,21.4675324675,1488.3,1626.7,1653.0,4648,11122,21995,17596,11786,2822,5063,6640,5,1,103,1,48,63,61,1,0,0.878097789685,215
33,1,4,2016-01-01-118,675,203,61,37,679,183,61,51,703,183,53,53,2,9.0,153,2,9.0,153,2,9.0,153,72,73,66,71,69,65,1,4,1,20.7305555556,19.0095890411,16.7621212121,1492.6,1387.7,1106.3,4648,11122,21995,17596,11786,2822,5063,6640,5,1,115,0,58,58,43,1,0,0.877344877345,151
34,1,4,2016-01-01-130,673,156,49,22,663,166,52,28,678,190,62,34,2,8.0,133,2,8.0,133,3,8.0,133,77,69,74,75,68,72,2,1,2,16.8727272727,19.752173913,18.5891891892,1299.2,1362.9,1375.6,4648,11122,21995,17596,11786,2822,5063,6640,5,1,127,1,58,62,63,1,0,0.877578176979,113
35,1,4,2016-01-01-142,695,144,33,18,655,117,37,23,679,144,50,23,2,8.0,126,2,8.0,126,2,8.0,126,13,23,32,11,22,32,2,1,0,27.2307692308,25.5652173913,20.75,354.0,588.0,664.0,4648,11122,21995,17596,11786,2822,5063,6640,5,1,139,0,10,13,23,1,0,0.870476190476,59
36,0,5,2016-01-01-46,90,17,0,1,88,11,4,3,84,18,0,0,1,2.0,181,1,2.0,181,1,2.0,181,0,4,0,0,2,0,0,2,0,0.0,32.125,0.0,0.0,128.5,0.0,664,415,5478,913,1909,166,166,166,5,1,43,1,0,4,0,1,0,1.0,2
37,5,5,2016-01-01-58,132,21,7,3,145,16,6,2,137,18,3,4,8,3.0,178,8,3.0,178,8,3.0,178,14,8,2,7,6,1,7,2,1,42.7928571429,51.0625,35.0,599.1,408.5,70.0,664,415,5478,913,1909,166,166,166,5,1,55,1,14,8,2,1,0,0.858823529412,4
38,4,5,2016-01-01-70,116,11,4,2,110,28,4,1,127,30,4,0,2,7.0,205,2,6.0,205,2,6.0,205,9,4,14,0,1,0,1,3,1,9.97777777778,12.0,13.7142857143,89.8,48.0,192.0,664,415,5478,913,1909,166,166,166,5,1,67,0,9,4,14,1,0,0.882352941176,3
39,0,5,2016-01-01-82,132,18,5,0,148,24,3,1,140,32,3,0,2,10.0,232,2,10.0,232,2,10.0,232,4,9,7,3,5,2,1,4,5,26.25,42.8888888889,10.2857142857,105.0,386.0,72.0,664,415,5478,913,1909,166,166,166,5,1,79,0,4,9,7,1,0,0.909090909091,7
40,0,5,2016-01-01-94,134,23,0,1,122,15,8,4,105,21,8,2,2,12.0,189,2,12.0,189,9,12.0,189,6,2,2,5,1,2,1,1,0,25.3333333333,27.5,6.0,152.0,55.0,12.0,664,415,5478,913,1909,166,166,166,5,1,91,0,6,2,2,1,0,0.947368421053,12
41,1,5,2016-01-01-106,158,31,4,1,129,22,5,3,165,21,9,0,2,10.0,154,2,11.0,154,2,11.0,154,4,4,6,4,4,6,0,0,0,49.25,9.75,25.35,197.0,39.0,152.1,664,415,5478,913,1909,166,166,166,5,1,103,1,4,4,6,1,0,0.904761904762,15
42,2,5,2016-01-01-118,138,28,5,4,151,31,5,2,157,17,1,9,2,9.0,153,2,9.0,153,2,9.0,153,4,2,2,3,2,2,1,0,0,25.5,25.5,27.0,102.0,51.0,54.0,664,415,5478,913,1909,166,166,166,5,1,115,0,4,2,2,1,0,0.909090909091,18
43,0,5,2016-01-01-130,135,20,3,5,123,15,5,2,134,16,7,0,2,8.0,133,2,8.0,133,3,8.0,133,2,2,5,2,2,4,0,0,1,17.2,12.0,46.8,34.4,24.0,234.0,664,415,5478,913,1909,166,166,166,5,1,127,1,2,2,5,1,0,0.95,25
44,0,5,2016-01-01-142,123,9,4,1,120,7,5,3,140,13,2,0,2,8.0,126,2,8.0,126,2,8.0,126,0,4,1,0,3,1,0,1,0,0.0,33.75,97.0,0.0,135.0,97.0,664,415,5478,913,1909,166,166,166,5,1,139,0,0,4,1,1,0,0.846153846154,5
45,13,6,2016-01-01-46,309,59,10,22,289,34,19,15,290,41,20,5,1,2.0,181,1,2.0,181,1,2.0,181,10,22,15,9,14,8,1,8,7,28.79,28.2454545455,23.5533333333,287.9,621.4,353.3,830,1245,5229,3569,11122,3320,2490,15106,5,1,43,1,10,18,14,1,0,0.797413793103,12
46,10,6,2016-01-01-58,291,61,21,23,330,64,30,29,335,47,14,20,8,3.0,178,8,3.0,178,8,3.0,178,34,24,24,18,18,12,16,6,12,27.7470588235,19.5708333333,20.2208333333,943.4,469.7,485.3,830,1245,5229,3569,11122,3320,2490,15106,5,1,55,1,32,22,18,1,0,0.802874743326,19
47,24,6,2016-01-01-70,319,66,19,16,341,31,19,18,322,86,20,17,2,7.0,205,2,6.0,205,2,6.0,205,53,52,46,13,12,16,40,40,30,14.3301886792,15.7076923077,21.8782608696,759.5,816.8,1006.4,830,1245,5229,3569,11122,3320,2490,15106,5,1,67,0,47,48,40,1,0,0.844974446337,15
48,22,6,2016-01-01-82,310,59,21,20,348,51,17,17,328,52,28,8,2,10.0,232,2,10.0,232,2,10.0,232,38,32,42,11,12,11,27,20,31,16.3894736842,14.596875,14.65,622.8,467.1,615.3,830,1245,5229,3569,11122,3320,2490,15106,5,1,79,0,34,28,34,1,0,0.827586206897,23
49,1,6,2016-01-01-94,332,68,24,17,344,53,23,13,333,51,30,19,2,12.0,189,2,12.0,189,9,12.0,189,29,22,35,11,12,17,18,10,18,23.8034482759,31.7772727273,34.3628571429,690.3,699.1,1202.7,830,1245,5229,3569,11122,3320,2490,15106,5,1,91,0,28,21,32,1,0,0.826271186441,32
50,8,6,2016-01-01-106,300,72,15,16,305,59,14,16,310,77,14,14,2,10.0,154,2,11.0,154,2,11.0,154,23,30,12,23,29,11,0,1,1,22.9,16.8933333333,25.4333333333,526.7,506.8,305.2,830,1245,5229,3569,11122,3320,2490,15106,5,1,103,1,19,24,12,1,0,0.885393258427,54
51,2,6,2016-01-01-118,326,81,24,28,337,90,31,30,338,59,26,11,2,9.0,153,2,9.0,153,2,9.0,153,17,23,14,15,23,13,2,0,1,20.1705882353,28.3565217391,40.0285714286,342.9,652.2,560.4,830,1245,5229,3569,11122,3320,2490,15106,5,1,115,0,14,19,14,1,0,0.916666666667,58
52,0,6,2016-01-01-130,342,65,17,11,335,70,28,24,345,110,18,17,2,8.0,133,2,8.0,133,3,8.0,133,11,14,14,11,12,14,0,2,0,23.2,20.2857142857,31.3428571429,255.2,284.0,438.8,830,1245,5229,3569,11122,3320,2490,15106,5,1,127,1,11,12,13,1,0,0.872180451128,86
53,2,6,2016-01-01-142,341,49,19,15,341,48,18,16,361,74,16,9,2,8.0,126,2,8.0,126,2,8.0,126,6,5,6,6,5,6,0,0,0,14.1666666667,37.6,24.0,85.0,188.0,144.0,830,1245,5229,3569,11122,3320,2490,15106,5,1,139,0,3,5,4,1,0,0.87962962963,37
54,82,7,2016-01-01-46,1785,176,52,42,1804,195,54,34,1728,222,38,35,1,2.0,181,1,2.0,181,1,2.0,181,152,167,178,44,38,19,108,129,159,17.7177631579,20.3443113772,19.8106741573,2693.1,3397.5,3526.3,134460,13114,151641,34611,41832,50713,184011,41334,5,1,43,1,133,155,168,1,0,0.750201450443,135
55,37,7,2016-01-01-58,1954,430,98,100,1986,392,157,85,1939,426,100,54,8,3.0,178,8,3.0,178,8,3.0,178,129,121,103,99,101,93,30,20,10,16.8333333333,19.0917355372,18.9310679612,2171.5,2310.1,1949.9,134460,13114,151641,34611,41832,50713,184011,41334,5,1,55,1,105,106,89,1,0,0.826942482341,367
56,80,7,2016-01-01-70,1726,545,191,159,1787,543,167,118,1749,483,187,107,2,7.0,205,2,6.0,205,2,6.0,205,195,189,195,114,105,114,81,84,81,12.8153846154,14.7455026455,15.8256410256,2499.0,2786.9,3086.0,134460,13114,151641,34611,41832,50713,184011,41334,5,1,67,0,173,148,165,1,0,0.844370860927,282
57,148,7,2016-01-01-82,1926,488,185,110,1766,496,187,123,1862,497,164,107,2,10.0,232,2,10.0,232,2,10.0,232,274,252,266,123,121,149,151,131,117,15.404379562,15.225,15.7086466165,4220.8,3836.7,4178.5,134460,13114,151641,34611,41832,50713,184011,41334,5,1,79,0,228,199,208,1,0,0.84347826087,353
58,127,7,2016-01-01-94,1815,545,235,128,1847,508,188,131,1777,548,171,134,2,12.0,189,2,12.0,189,9,12.0,189,329,326,316,134,124,121,195,202,195,11.1288753799,15.4616564417,14.9556962025,3661.4,5040.5,4726.0,134460,13114,151641,34611,41832,50713,184011,41334,5,1,91,0,256,262,262,1,0,0.837324981577,295
59,268,7,2016-01-01-106,1671,554,216,109,1759,533,209,142,1854,569,196,113,2,10.0,154,2,11.0,154,2,11.0,154,437,492,421,137,148,155,300,344,266,13.8745995423,18.2054878049,16.8090261283,6063.2,8957.1,7076.6,134460,13114,151641,34611,41832,50713,184011,41334,5,1,103,1,367,420,374,1,0,0.851597533632,357
60,5,7,2016-01-01-118,1797,490,131,100,1846,531,176,116,1820,485,175,104,2,9.0,153,2,9.0,153,2,9.0,153,132,136,137,119,120,131,13,16,6,17.7863636364,19.6977941176,17.3182481752,2347.8,2678.9,2372.6,134460,13114,151641,34611,41832,50713,184011,41334,5,1,115,0,108,114,109,1,0,0.882288629738,309
61,3,7,2016-01-01-130,1948,459,128,75,1904,480,151,84,1988,471,109,88,2,8.0,133,2,8.0,133,3,8.0,133,85,107,105,80,105,103,5,2,2,19.5705882353,22.8411214953,18.84,1663.5,2444.0,1978.2,134460,13114,151641,34611,41832,50713,184011,41334,5,1,127,1,67,94,90,1,0,0.858164033108,416
62,1,7,2016-01-01-142,2046,342,86,64,1942,312,102,48,2025,315,76,68,2,8.0,126,2,8.0,126,2,8.0,126,56,70,55,54,68,52,2,2,3,20.4285714286,25.0142857143,24.3636363636,1144.0,1751.0,1340.0,134460,13114,151641,34611,41832,50713,184011,41334,5,1,139,0,46,62,44,1,0,0.864304235091,165
63,402,8,2016-01-01-46,2437,268,54,66,2336,209,71,74,2285,205,90,60,1,2.0,181,1,2.0,181,1,2.0,181,506,442,449,67,55,58,439,387,391,21.0294466403,22.9070135747,21.4728285078,10640.9,10124.9,9641.3,80676,56440,145665,103335,60258,65321,240036,70052,5,1,43,1,440,382,379,1,0,0.71657108361,162
64,181,8,2016-01-01-58,2671,419,101,107,2641,388,129,95,2621,407,103,108,8,3.0,178,8,3.0,178,8,3.0,178,351,330,249,186,186,192,165,144,57,17.8259259259,20.5175757576,15.2883534137,6256.9,6770.8,3806.8,80676,56440,145665,103335,60258,65321,240036,70052,5,1,55,1,297,270,203,1,0,0.814732142857,402
65,236,8,2016-01-01-70,2364,437,135,95,2387,437,146,97,2358,473,125,77,2,7.0,205,2,6.0,205,2,6.0,205,382,382,418,151,147,181,231,235,237,8.54397905759,11.997382199,11.8528708134,3263.8,4583.0,4954.5,80676,56440,145665,103335,60258,65321,240036,70052,5,1,67,0,280,311,350,1,0,0.812983247423,418
66,187,8,2016-01-01-82,2539,484,131,86,2585,488,122,88,2557,470,116,100,2,10.0,232,2,10.0,232,2,10.0,232,401,391,417,173,198,222,228,193,195,10.5845386534,10.3792838875,11.6757793765,4244.4,4058.3,4868.8,80676,56440,145665,103335,60258,65321,240036,70052,5,1,79,0,308,301,332,1,0,0.824708683122,482
67,15,8,2016-01-01-94,2491,461,157,149,2525,444,118,104,2473,460,138,111,2,12.0,189,2,12.0,189,9,12.0,189,344,419,394,180,205,177,164,214,217,11.1924418605,13.2749403341,13.9045685279,3850.2,5562.2,5478.4,80676,56440,145665,103335,60258,65321,240036,70052,5,1,91,0,265,330,293,1,0,0.818306761957,480
68,21,8,2016-01-01-106,2447,537,176,149,2377,607,176,137,2491,565,155,143,2,10.0,154,2,11.0,154,2,11.0,154,362,348,352,316,302,316,46,46,36,18.1560773481,17.5129310345,17.1309659091,6572.5,6094.5,6030.1,80676,56440,145665,103335,60258,65321,240036,70052,5,1,103,1,292,265,272,1,0,0.842835130971,825
69,6,8,2016-01-01-118,2599,458,138,151,2482,486,115,127,2492,523,179,121,2,9.0,153,2,9.0,153,2,9.0,153,287,256,295,277,251,282,10,5,13,15.7118466899,16.953125,15.3925423729,4509.3,4340.0,4540.8,80676,56440,145665,103335,60258,65321,240036,70052,5,1,115,0,213,204,219,1,0,0.847337082369,658
70,11,8,2016-01-01-130,2626,502,157,134,2649,550,133,135,2601,535,183,108,2,8.0,133,2,8.0,133,3,8.0,133,309,308,286,297,299,275,12,9,11,16.0074433657,15.9237012987,16.9842657343,4946.3,4904.5,4857.5,80676,56440,145665,103335,60258,65321,240036,70052,5,1,127,1,245,246,224,1,0,0.842065642879,631
71,6,8,2016-01-01-142,2616,326,108,100,2647,360,114,85,2656,342,129,119,2,8.0,126,2,8.0,126,2,8.0,126,87,135,121,86,130,116,1,5,5,22.4482758621,21.9851851852,20.7438016529,1953.0,2968.0,2510.0,80676,56440,145665,103335,60258,65321,240036,70052,5,1,139,0,65,108,96,1,0,0.835452233927,301
72,31,9,2016-01-01-46,395,53,10,19,430,58,30,15,385,35,12,12,1,2.0,181,1,2.0,181,1,2.0,181,15,17,9,8,10,6,7,7,3,29.5266666667,46.4235294118,35.9222222222,442.9,789.2,323.3,2905,5312,7968,16600,11205,4731,4648,11371,5,1,43,1,10,15,6,1,0,0.833333333333,27
73,9,9,2016-01-01-58,573,79,36,38,614,97,37,34,618,123,20,29,8,3.0,178,8,3.0,178,8,3.0,178,29,23,21,25,22,20,4,1,1,26.3379310345,16.8739130435,25.4714285714,763.8,388.1,534.9,2905,5312,7968,16600,11205,4731,4648,11371,5,1,55,1,20,11,15,1,0,0.822222222222,69
74,15,9,2016-01-01-70,568,107,49,29,579,99,45,44,555,125,44,31,2,7.0,205,2,6.0,205,2,6.0,205,57,37,39,30,29,27,27,8,12,23.0122807018,28.5351351351,26.658974359,1311.7,1055.8,1039.7,2905,5312,7968,16600,11205,4731,4648,11371,5,1,67,0,39,28,28,1,0,0.839622641509,74
75,3,9,2016-01-01-82,561,153,54,32,585,146,46,46,585,121,41,28,2,10.0,232,2,10.0,232,2,10.0,232,49,60,72,44,43,37,5,17,35,20.387755102,18.29,17.5305555556,999.0,1097.4,1262.2,2905,5312,7968,16600,11205,4731,4648,11371,5,1,79,0,28,33,36,1,0,0.848387096774,97
76,2,9,2016-01-01-94,557,143,60,32,575,123,39,37,563,129,39,32,2,12.0,189,2,12.0,189,9,12.0,189,59,45,51,45,40,45,14,5,6,30.5474576271,23.9533333333,20.4745098039,1802.3,1077.9,1044.2,2905,5312,7968,16600,11205,4731,4648,11371,5,1,91,0,48,29,36,1,0,0.802277432712,71
77,5,9,2016-01-01-106,554,168,54,40,573,156,55,36,568,164,48,31,2,10.0,154,2,11.0,154,2,11.0,154,64,86,61,55,77,57,9,9,4,23.93125,29.9290697674,22.8327868852,1531.6,2573.9,1392.8,2905,5312,7968,16600,11205,4731,4648,11371,5,1,103,1,49,69,43,1,0,0.837542087542,109
78,1,9,2016-01-01-118,534,128,60,33,568,161,48,32,555,155,67,25,2,9.0,153,2,9.0,153,2,9.0,153,38,59,42,38,58,34,0,1,8,21.0763157895,25.5627118644,20.4785714286,800.9,1508.2,860.1,2905,5312,7968,16600,11205,4731,4648,11371,5,1,115,0,20,38,26,1,0,0.863741339492,105
79,0,9,2016-01-01-130,561,112,49,33,590,142,31,23,592,130,40,33,2,8.0,133,2,8.0,133,3,8.0,133,47,43,51,44,43,50,3,0,1,23.4957446809,18.5627906977,18.6039215686,1104.3,798.2,948.8,2905,5312,7968,16600,11205,4731,4648,11371,5,1,127,1,35,29,30,1,0,0.84347826087,103
80,0,9,2016-01-01-142,574,83,42,26,583,95,31,26,617,91,53,29,2,8.0,126,2,8.0,126,2,8.0,126,12,27,19,12,26,17,0,1,2,21.9166666667,19.2222222222,18.8421052632,263.0,519.0,358.0,2905,5312,7968,16600,11205,4731,4648,11371,5,1,139,0,10,17,12,1,0,0.855504587156,41
